,Review,Emoji
61,Recieve in good condition perfect shade for me 😁,['😁']
62,Received on the same week I purchase them! 😊,['😊']
63,It looks dark on the photo but it’s indeed natural beige 220 for fair-tanned skin of mine! I got the matte one and this one will work for my dryer side of skin like cheeks. It’s definitely cheaper than retail & bragging how much I saved w promo code & bought on flash sale: $8.35 🥰🤪🤭🤑,"['🤪', '🥰', '🤑', '🤭']"
64,"Good product,good service,love this 😍Good product,good service,love this 😍Good product,good service,love this 😍Good product,good service,love this 😍Good product,good service,love this 😍",['😍']
65,Delivery took a week. Product came intact and with free remover as shown! Cheaper than in retail store 👍🏻,['👍🏻']
66,"Packaged nicely with the rest of my order, came precisely with the free make-up removers as indicated in the promotion! 👍👍",['👍']
67,"Great product!
Fast Doorstep delivery!

Thank You very much 😊",['😊']
68,Great offer 👌🏻👌🏻👌🏻👌🏻👌🏻,['👌🏻']
69,"Love love love love
Good product quality
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤",['❤']
70,Love this color. Pigment on point. Just the applicator is abit hard. After apply for slight stickiness but it doesn’t crack your lips like normal matte liquid lip does. Color pay off 💯,['💯']
71,lol don’t even bother buying. there was a 1 for 1 promotion when i bought it but only 1 product was delivered. customer service totally unresponsive. really appalling service coming from such a huge company who has to resort to such sales tactics to gain revenue 🤷🏻‍♀️,['🤷🏻\u200d♀️']
72,yet to try....😊,['😊']
73,Happy to have this lipstick from this collection! Been waiting for this collection for so long. 🤩 ,['🤩']
74,Fast delivery!!!! Everything was well packed! Brought it on sale plus it comes with a free makeup remover. Best deal ever. The colour is nice toooo~ GREAT PURCHASE !👍,['👍']
75,"Delivery speed was a little slow but maybe due to the sales period at the time, lots of orders to fulfil so understandable. Colour is great as well as the texture! 👍🏻",['👍🏻']
76,"Bought during brands deal, much cheaper than retail store and there’s free shipping 👍🏻 ",['👍🏻']
77,Fast delivery. Well secured and received in good condition. Mfg May 2019. 👍🏼,['👍🏼']
78,"Item received in good condition 
Much more cheaper flash sales , good buy 
😄😄😄😄😄😄😄😁😁😄😄😄","['😄', '😁']"
79,Luckily the color suit my medium tan skin. Bought on flash deal and very affordable. Love the powder. Highly recommend 👍👍👍👍👍,['👍']
80,Loving it!!! And i was given 3 maybelline eye makeup remover ❤❤,['❤']
81,Item well received 👍👍👍 smooth transaction & fast delivery! Definitely will shop again here.,['👍']
82,Order received.. Safe packaging.. Thanks guys👍🤗,"['👍', '🤗']"
83,Very fast delivery.thank you so much!will purchase again.make up refill is now complete😂!,['😂']
84,Fast delivery. Ordered sunday evening received on tuesday morning 👍👍great deal! ,['👍']
85,Super fast delivery👍🏼,['👍🏼']
86,Cant wait to try thanks seller ! More prefer coming from u💓🥰..btw this is my first time trying so can't wait !!,"['🥰', '💓']"
87,Received with thanks. Secure and neat packaging. Arrive just in time cause i literally finished my foundation yesterday. 😅,['😅']
88,Received my item in good condition! Have not try the product yet but it certainly looks good 😊,['😊']
89,V fast delivery!👍Item recieved in gd condition! Thanks!,['👍']
90,"Bottle came cracked due to the fault of the delivery company I believe, but I was given a replacement that was packaged with bubble wrap promptly 👍🏻",['👍🏻']
91,Fast delivery..  packaging comes with bubble wrap. 👍,['👍']
92,"Thank you for the fast delivery during this international sales period and the promotion on the free lipstick given.. up to date mfg dated 2019. However, downside on the free lipstick Lust for blush mfg dated in 2016. 😔 ",['😔']
93,"Lovely product ,super fast delivery
Will buy again 👍",['👍']
94,I purchased the items during sale. It took like almost 2 weeks to arrive. I’m satisfied with my purchase! Thanks Maybelline. Hoping for more sale to come! 🥰😅,"['😅', '🥰']"
95,Very fast delivery. Item received in good condition. Mine was mfg in 032019 so not bad!👍,['👍']
96,Item is as described (: Order processed quickly and would buy again 👍 ,['👍']
97,"Finally got my restock, this is my second bottle, absolutely love it, my fav ❤️ (shipping is quite slow, slower than my purchase from korea LOL Maybelline do sth about it please) ",['❤️']
98,Thank you =) ❤❤❤❤,['❤']
99,Item was wrapped with great care 😇 Tried lightly on my hand & it looks dark & nice 🥰 Happy with the product 👧 Thank you 🙂,"['😇', '👧', '🥰', '🙂']"
100,Fast delivery! Items received in good condition. Yet to try. 😜,['😜']
101,👍👍👍👍👍👍,['👍']
102,received in great condition ! had to look up swatches online to match my skin tone and it matches 😁 i bought 128 warm nude. the finish is also flawless and matifying which i like ❤️ right side of my hand is with foundation and left is without. ,"['❤️', '😁']"
103,Fast delivery and items received in good condition. Thank you seller 😊,['😊']
104,Fast delivery 👍,['👍']
105,"Fast delivery! Will update again, once I use the items. 😊",['😊']
106,"I failed to recieve information pertaining to my parcel from the courier company, leading it to be only found after close to a month. Maybelline was REALLY helpful in assisting me and providing info on where my parcel is.

Extremely pleased and thankful for their CS ✨",['✨']
107,"definitely the authentic one bcoz it's the Official shop and ofc the quality is premium! been using this since last year and the coverage is really very good, just apply a little will do! ❤️🤧","['❤️', '🤧']"
108,"Just received the item. Have yet to try, comes in a compact package to prevent breakage.👍",['👍']
109,"received the items in good condition 👍
fast delivery 👍
will definitely purchase again 👍",['👍']
110,Quick delivery and the items came in good condition. Packed carefully too ✨ ,['✨']
111,"Well received, first delivery 
Manufacturing date 2019
🚚🚚👍","['👍', '🚚']"
112,Thank you seller I received it. I didn’t tried it yet. I’m excited to try it. 😊👌🏻,"['😊', '👌🏻']"
113,"Recieved in good condition
Thank u so much for fast delivery too
👍👍👍👍👍",['👍']
114,Fast delivery!!!! Everything was well packed! Brought it on sale plus it comes with a free makeup remover. Best deal ever. The colour is nice toooo~ GREAT PURCHASE !👍,['👍']
115,"Thank you for the fast delivery during this international sales period and the promotion on the free lipstick given.. up to date mfg dated 2019. However, downside on the free lipstick Lust for blush mfg dated in 2016. 😔 ",['😔']
116,"Delivery speed was a little slow but maybe due to the sales period at the time, lots of orders to fulfil so understandable. Colour is slightly different than pictured but still a nice colour and texture. 👍🏻",['👍🏻']
117,"Even though shipping time took more than 1 week, quite happy with the items and 5 free gifts. 
😍",['😍']
118,Worth my waiting as they’ve given 3 bottles of make up remover 😍 thanks! ,['😍']
119,Product comes sealed! 👍,['👍']
120,So happy with my purchased 🤩 received in very good condition and receive it in 5days. Loving Maybelline products 😍 Recommended seller 👍🏻,"['🤩', '👍🏻', '😍']"
121,Items received as expected 🤙🏽 ,['🤙🏽']
122,Hi. Thank you for delivering the missing item 👍🏻 recommended seller. ,['👍🏻']
123,haven't tried but looks promising 🥰,['🥰']
124,Fast delivery and item came well packed 👍🏼,['👍🏼']
125,"Packaged nicely with the rest of my order, came precisely with the free lipstick as indicated in the promotion! 👍👍",['👍']
126,Product well packed in bubble envelope. Comes with free gifts as offered in product page.👍,['👍']
127,Love it. A little clumpy but it could be I was too excited i tried on top of my already macara-ed lashes😁,['😁']
128,Item is as described (: Order processed quickly and would buy again 👍 ,['👍']
129,"Very fast shipping, excellent seller. Item is authentic. Thank you 😊 ❤ ","['😊', '❤']"
